ID_del_Vehículo,Marca,Modelo,Año,Región,Tipo_de_Vehículo,Capacidad_de_Batería_kWh,Salud_de_Batería_%,Autonomía_km,Potencia_de_Carga_kW,Tiempo_de_Carga_hr,Ciclos_de_Carga,Consumo_de_Energía_por_100km_recorridos,Kilometraje_km,Velocidad_Promedio_kmh,Velocidad_Máxima_kmh,Aceleración_0_100_kmh_seg,Temperatura_°C,Tipo_de_Uso,CO2_Ahorrado_tons,Costo_de_Mantenimiento_USD_por_año,Costo_de_Seguro_USD_por_año,Costo_de_Electricidad_en_USD_por_kWh,Costo_Mensual_de_Carga_USD,Valor_de_Reventa_USD
1.0,Nissan,Leaf,2021.0,Asia,SUV,101.7,75.5,565.0,127.0,0.82,1438.0,12.76,117727.0,53.4,233.0,8.1,-9.0,Personal,14.13,969.0,843.0,0.3,375.55,26483.0
2.0,Nissan,Leaf,2020.0,Australia,Sedán,30.1,99.8,157.0,157.2,0.27,1056.0,15.79,161730.0,58.0,221.0,9.83,1.6,Personal,19.41,1157.0,1186.0,0.25,532.02,11287.0
3.0,Hyundai,Kona Electric,2021.0,Norteamérica,SUV,118.5,85.2,677.0,173.6,0.84,1497.0,24.34,244931.0,69.4,138.0,3.6,1.5,Flota,29.39,291.0,1890.0,0.26,1291.68,34023.0
4.0,Audi,Q4 e-tron,2022.0,Europa,Hatchback,33.1,97.3,149.0,169.3,0.25,1613.0,14.7,57995.0,42.9,192.0,8.97,12.5,Flota,6.96,401.0,2481.0,0.22,234.44,14398.0
5.0,Tesla,Model 3,2022.0,Australia,Desconocido,81.3,85.6,481.0,212.8,0.43,1078.0,22.77,17185.0,97.6,189.0,7.03,-3.0,Comercial,2.06,214.0,2336.0,0.1,32.61,23033.0
6.0,Hyundai,Ioniq 5,2021.0,Norteamérica,Sedán,68.1,81.8,312.0,14.4,6.31,591.0,21.48,134312.0,72.4,235.0,6.705,14.4,Comercial,16.12,334.0,700.0,0.22,601.05,19412.0
7.0,Desconocido,F-150 Lightning,2016.0,Asia,Sedán,38.6,81.1,206.0,170.2,0.27,925.0,23.53,206664.0,56.8,176.0,6.705,28.0,Flota,24.8,1441.0,1002.0,0.29,1175.18,13983.0
8.0,Audi,e-tron,2021.0,Australia,Sedán,33.6,91.3,141.0,116.0,0.39,1063.0,20.27,112059.0,69.4,133.0,9.4,2.5,Flota,13.45,948.0,2178.0,0.28,530.0,14121.0
9.0,Mercedes,EQS,2018.0,Europa,Sedán,114.9,88.0,619.0,221.4,0.61,1125.0,20.23,7693.0,62.0,237.0,4.71,34.6,Personal,0.92,1554.0,2163.0,0.3,38.91,31897.0
10.0,Hyundai,Ioniq 5,2023.0,Norteamérica,SUV,58.6,73.3,261.0,113.1,0.57,1968.0,15.96,194125.0,65.8,138.0,6.65,24.6,Personal,23.3,1457.0,1183.0,0.15,387.28,20833.0
11.0,Kia,Niro EV,2020.0,Asia,SUV,49.7,86.7,238.0,26.5,2.46,1491.0,15.27,246025.0,79.9,191.0,5.35,-8.2,Comercial,15.225000000000001,312.0,501.0,0.22,688.75,17350.0
12.0,Hyundai,Ioniq 5,2020.0,Norteamérica,SUV,33.0,80.4,371.0,173.7,0.23,929.0,24.81,223527.0,71.5,184.0,8.45,1.9,Flota,26.82,966.0,793.0,0.18,831.86,17073.0
13.0,Hyundai,Kona Electric,2020.0,Australia,Hatchback,118.5,82.0,667.0,201.8,0.8,386.0,14.42,20708.0,90.1,188.0,4.93,25.6,Comercial,2.48,1734.0,646.0,0.17,42.3,32442.0
Desconocido,Audi,e-tron,2021.0,Asia,Sedán,45.7,90.7,218.0,234.9,0.26,672.0,14.72,26918.0,91.4,228.0,4.99,14.4,Personal,3.23,823.0,1516.0,0.22,72.64,14402.0
15.0,Ford,F-150 Lightning,2015.0,Desconocido,Sedán,51.8,72.8,300.0,226.2,0.27,208.0,15.63,178714.0,80.8,132.0,9.07,10.2,Personal,21.45,1896.0,2443.0,0.22,721.6,17006.0
16.0,Ford,Mustang Mach-E,2015.0,Australia,Hatchback,44.5,97.0,231.0,13.2,4.65,298.0,24.66,204569.0,41.3,211.0,6.66,12.4,Flota,24.55,1156.0,2204.0,0.13,546.51,14658.0
17.0,BMW,i4,2018.0,Europa,SUV,51.4,79.8,282.0,127.0,0.34,600.0,16.0,206163.0,65.6,191.0,5.22,2.2,Flota,24.74,237.0,729.0,0.19,522.28,18378.0
18.0,Audi,Q4 e-tron,2020.0,Desconocido,Hatchback,111.5,83.0,524.0,165.2,0.78,1704.0,14.54,176836.0,64.9,133.0,3.66,22.3,Comercial,21.22,216.0,1695.0,0.33,707.08,22129.0
19.0,BMW,iX,2019.0,Australia,Sedán,109.5,92.4,646.0,90.0,1.45,806.0,24.53,190312.0,35.3,191.0,4.74,3.4,Personal,22.84,1546.0,627.0,0.18,700.25,26798.0
20.0,BMW,iX,2020.0,Europa,Hatchback,114.3,90.9,587.0,34.2,3.91,1053.0,16.66,61958.0,66.3,131.0,5.6,32.4,Flota,7.43,1616.0,2334.0,0.27,232.25,29880.0
21.0,Volkswagen,Desconocido,2021.0,Desconocido,Camioneta,56.4,94.3,316.0,218.2,0.72,1729.0,18.7,115627.0,85.9,194.0,3.96,14.4,Flota,13.88,853.0,1471.0,0.32,344.62,16374.0
